宝可梦地区,现实地区,pokemon,纬度,经度,推荐地址,是否精确匹配,,,
挑战之路,皮尔,功夫鼬、拳拳蛸、不良蛙、滑滑小子、吉利蛋、毒骷蛙、头巾混混、投掷猴、八爪武师、师父鼬、投摔鬼、打击鬼、幸福蛋、列阵兵、葱游兵、岩狗狗、鬃岩狼人、滚滚蝙蝠、小箭雀、电飞鼠、毛头小鹰、秃鹰丫头、火箭雀、心蝙蝠、勇士雄鹰、秃鹰娜、烈箭鹰、咕咕、豆豆鸽、咕咕鸽、猫头夜鹰、高傲雉鸡、利牙鱼、驹刀小兵、索罗亚、巨牙鲨、乌贼王、龙王蝎、劈斩司令、索罗亚克、好啦鱿、混混鳄、狐大盗、酷豹、流氓鳄、小猫怪、小福蛋、石丸子、索侦虫、沙包蛇、盔甲鸟、夜盗火蜥、心鳞宝、三合一磁怪、凯罗斯、巨钳螳螂、赫拉克罗斯、随风球、艾路雷朵、岩殿居蟹、焰后蜥,44.3667876,-100.3537522,"Pierre, SD 57501, USA",是,,,
恶之塔,皮尔城堡,,54.2261411,-4.698103,"West Quay, Peel, IM5 1TB, Isle of Man",是,,,
通海坡,中标津町,,43.5552107,144.9715637,"Nakashibetsu, Shibetsu District, Hokkaido, Japan",是,,,
银杏沙滩,标津町,,43.6612538,145.1313612,"Shibetsu, Shibetsu District, Hokkaido, Japan",是,,,
戏水潟湖,风莲湖,,43.3444988,145.273652,"Lake Furen, Hokkaido, Japan",是,,,
温根沼,風蓮湖,,43.3444988,145.273652,"Lake Furen, Hokkaido, Japan",是,,,
鬼枯原,根室半岛,,43.3539417,145.6787281,"Nemuro Peninsula, Makinouchi, Nemuro, Hokkaido 087-0002, Japan",是,,,
沙手,纳沙布岬,,43.3852858,145.8169297,"Nosappu, Nemuro, Hokkaido 087-0165, Japan",否,,,
后浦,落石湾,,43.1816496,145.5146865,"Rakuseki Bay, Japan",是,,,
沙洲道,鹈居岛,,43.2101877,145.5975172,"Yururi Island, Konbumori, Nemuro, Hokkaido 088-1784, Japan",是,,,
小鹈居岛,モユルリ島,,43.2274021,145.6072411,"Moyururi Island, Konbumori, Nemuro, Hokkaido 088-1784, Japan",是,,,
离散石滩,罗臼町,,44.0218788,145.1897129,"Rausu, Menashi District, Hokkaido, Japan",是,,,
未白镇,佐世保市,菊草叶、火球鼠、小锯鳄,33.1804356,129.7157996,"Sasebo, Nagasaki, Japan",是,,,
１０１号道路,佐世保线,,0,0,Sasebo,Line,是,,
古玫镇,佐贺市,,33.2631179,130.3009057,"Saga, Japan",是,,,
１０２号道路,唐津线,,0,0,Karatsu,Line,是,,
１０３号道路,云仙市,,32.8352046,130.1874427,"Unzen, Nagasaki, Japan",是,,,
原始森林,吉野里遗迹,雷公、炎帝、水君,33.3239366,130.3887596,"Yoshinogari Historical Park, 1843 Tade, Yoshinogari, Kanzaki District, Saga 842-0035, Japan",是,,,
橙华市,唐津市,玛力露、鲤鱼王、角金鱼、龙虾小兵、玛力露丽、溜溜糖球、雨翅蛾,33.4500971,129.9682676,"Karatsu, Saga, Japan",是,,,
１０４号道路,东松浦半岛,,33.47048,129.9079202,"Higashimatsuura Peninsula, Daira, Karatsu, Saga 847-0803, Japan",是,,,
橙华森林,古窑森林公园,蛇纹熊、土狼犬、刺尾虫、蘑蘑菇、甲壳茧、盾甲茧、傲骨燕、懒人獭、派拉斯、木棉球、小木灵、木守宫,38.1480847,140.2612388,"5-20 Hayama, Kaminoyama, Yamagata 999-3242, Japan",否,,,
卡那兹市,北九州市,幕下力士、橡实果、触手百合、太古羽虫、菊石兽、化石盔、化石翼龙、头盖龙、盾甲龙、原盖海龟、始祖小鸟,33.8834976,130.8751773,"Kitakyushu, Fukuoka, Japan",是,,,
１１６号道路,太宰府市,,33.5136238,130.5266668,"Dazaifu, Fukuoka, Japan",是,,,
卡绿隧道,耳纳山地,咕妞妞,,,,否,,,
１０５号水路,五岛列岛,,,,,否,,,
１０６号水路,伊万里湾,,33.3274367,129.8417192,"Imari Bay, Japan",是,,,
小岛洞穴,壹岐古坟群,,33.5319223,130.3951098,"2-chōme-17-13 Taiheiji, Minami Ward, Fukuoka, 811-1354, Japan",否,,,
武斗镇,对马岛,玛瑙水母、长翅鸥、大嘴鸥、鲤鱼王、吼吼鲸、刺尾虫,,,,否,,,
１０７,五岛滩,,32.978069,129.131904,"1394-1 Arikawagō, Shinkamigoto, Minamimatsuura District, Nagasaki 857-4211, Japan",否,,,
弃船,海紫堇,玛瑙水母、毒刺水母、鲤鱼王,,,,否,,,
凯那市,长崎市,玛瑙水母、长翅鸥、大嘴鸥、鲤鱼王、吼吼鲸,32.7503334,129.8778888,"Nagasaki, Japan",是,,,
110号道路,熊本渡轮航路,,32.8594427,130.7969149,"Kumamoto, Japan",否,,,
海滨自行车道,岛原铁道线,,0,0,Shimabara,Tetsudo,是,,
紫堇市,熊本市,,32.8032164,130.7079369,"Kumamoto, Japan",是,,,
新紫堇,熊本港,小磁怪、霹雳电球、三合一磁怪、顽皮雷弹,32.7635679,130.590034,"Kumamotominato Ferry Terminal, 1-chōme Shinminato, Nishi Ward, Kumamoto, 861-5274, Japan",否,,,
朦胧洞窟,天草群岛,莱希拉姆、捷克罗姆,32.4095859,130.1043057,"Amakusa Islands, Japan",是,,,
１１７号道路,合志市,,32.8860179,130.7897473,"Koshi, Kumamoto, Japan",是,,,
绿茵镇,菊池市,,32.9789312,130.8129958,"Kikuchi, Kumamoto, Japan",是,,,
１１１号道路,丰后大野市,,32.9783415,131.5843317,"Bungoono, Oita, Japan",是,,,
沙漠,南阿苏村,,32.846531,131.0160326,"Minamiaso, Aso District, Kumamoto, Japan",是,,,
沙漠遗迹,长目冢古坟,雷吉洛克,,,,否,,,
幻影之塔,阿苏大御神御足迹石,穿山鼠、大颚蚁,32.9521207,131.1211959,"Aso, Kumamoto, Japan",否,,,
南帕底亚海,阿尔沃兰海,,36.2144014,-3.4195527,Alboran,Sea,是,,
小匙镇,马拉加,,36.7178196,-4.425557,"Málaga, Spain",是,,,
海湾洞穴,内尔哈洞穴,,36.756395,-3.8727496,"29780 Nerja, Málaga, Spain",否,,,
平碟镇,格拉纳达,,37.1824607,-3.6011676,"Granada, Spain",是,,,
南第５区,塔韦纳斯沙漠,,37.0012053,-2.4503981,"Tabernas, 04260, Almería, Spain",是,,,
僻静海滩,加塔角,,36.7233333,-2.1788889,"Cape Gata, Spain",是,,,
桌台市,科尔多瓦,,37.8893025,-4.7792753,"Córdoba, Spain",是,,,
橘子/葡萄学院,圣家堂,,41.4036299,2.1743558,"Carrer de Mallorca, 401, L'Eixample, 08013 Barcelona, Spain",是,,,
深钵镇,卡塔赫纳,,10.3932277,-75.4832311,"Cartagena, Cartagena Province, Bolivar, Colombia",是,,,
酿光市,巴伦西亚,,39.4738338,-0.3756348,"Valencia, Spain",是,,,
穴扎镇,特鲁埃尔,,40.3456879,-1.1064345,"Teruel, Spain",是,,,
印记树林,佩尼亚弗洛尔保护区,,37.7102676,-5.3453537,"41470 Peñaflor, Seville, Spain",否,,,
帕底亚最高峰,阿内托峰,,42.6311217,0.6566032,"Aneto, 22440, Huesca, Spain",是,,,
北第１区,奥尔德萨国家公园,,42.6468705,0.0349001,"Ordesa y Monte Perdido National Park, C. Felipe Coscolla, 11, 22004 Huesca, Spain",否,,,
春临镇,倉敷市,,34.5849782,133.7719812,"Kurashiki, Okayama, Japan",是,,,
塌菜草原,児島,,,,,否,,,
丁香森林,浅口市付近,,34.5278237,133.5848277,"Asakuchi, Okayama, Japan",是,,,
藏红隧道,岡山市,,34.656228,133.9194179,"Okayama, Japan",是,,,
夏漫岛,福田港,,34.542829,134.3442379,"Japan, 〒761-4402 Kagawa, Shozu District, Shodoshima, Fukuda, 福田港",否,,,
番红海,瀬戸内海,,34.1321409,133.2446592,"Seto Inland Sea, Japan",是,,,
橄榄丛林,寒霞渓,,34.5156402,134.3006589,"乙１６８ Kankakedōri, Shodoshima, Shozu District, Kagawa 761-4433, Japan",否,,,
丛林遗迹,小豆島八十八箇所,,34.5056561,134.3047285,"Shōdo Island, Shozu District, Kagawa, Japan",否,,,
风铃洞窟,百間川,,34.6496051150752,133.96750408785,"Hyakuken River, Okayama, Japan",是,,,
秋露市,赤穂市,,34.7550685,134.3902271,"Ako, Hyogo, Japan",是,,,
夜班工厂,赤穂市海浜公園,,34.7379379,134.3998796,"Kaihincho, Ako, Hyogo 678-0225, Japan",否,,,
冬迎镇,赤磐市,,34.7553712,134.0187579,"Akaiwa, Okayama, Japan",是,,,
仙客来山脉,中国山地,,35.3710994,133.5461718,"Chūgoku Mountains, Daisen, Saihaku District, Tottori 689-3318, Japan",是,,,
菲蕾神殿,後山,,35.1868683,134.4112694,"Mount Ushiro, Chikusacho Koro, Shiso, Hyogo 671-3231, Japan",是,,,
卡拉卡沙漠,鳥取砂丘,,35.5434827,134.2365776,"Tottori Sand Dunes, 2164-971 Fukubechō Yuyama, Tottori, 689-0105, Japan",是,,,
矽铍市,菲尼克斯,,33.4482266,-112.0776781,"Phoenix, AZ, USA",是,,,
黄铁镇,威肯勃格,,33.9697664,-112.7301882,"Wickenburg, AZ 85390, USA",是,,,
玛瑙村,弗拉格斯塔夫,,35.1982836,-111.651302,"Flagstaff, AZ, USA",是,,,
堇青港,哈瓦苏湖城,,34.4769588,-114.3191952,"Lake Havasu City, AZ, USA",是,,,
对战山,汉弗莱斯峰,,35.3466618,-111.6784914,"Humphreys Peak, Arizona 86001, USA",是,,,
镍暗岛,米德湖群岛,,36.1435231,-114.4144415,"Lake Mead, United States",否,,,
郊外站,阿帕奇章克申,,33.414911,-111.5500532,"Apache Junction, AZ, USA",是,,,
神圣森林祠堂,可可尼诺国家森林,,34.913269,-111.5589448,"Coconino National Forest, 1824 S Thompson St, Flagstaff, AZ 86001, USA",否,,,
宝可梦综合研究所,米德湖国家休闲区,,36.1550863,-114.4559303,"Lake Mead National Recreation Area, 10 Lakeshore Rd, Boulder City, NV 89005, USA",否,,,
姜荷博士的房子,普雷斯科特,,34.5394432,-112.4681888,"Prescott, AZ, USA",是,,,
黑暗宝可梦研究所,沙漠景观瞭望塔,,,,,否,,,
榴辉峡谷,化石森林国家公园,,34.9583248,-109.7593953,"Petrified Forest National Park, Arizona, USA",否,,,
天秤座号,摩门湖,,,,,否,,,
宝可场所（岩地）,肖洛,,34.2542084,-110.0298327,"Show Low, AZ, USA",是,,,
宝可场所（洞窟）,大峡谷,,,,,否,,,
Euskadi,比斯开省,,43.2204286,-2.6983868,"Biscay, Spain",是,,,
冰柜镇,维多利亚,,48.4284207,-123.3656444,"Victoria, BC, Canada",是,,,
北第３区,桑坦德湾,,43.4496899,-3.8061782,"Bahía de Santander, Spain",是,,,
北帕底亚海,坎塔布里亚海,,43.968966,-5.3939551,Cantabrian,Sea,是,,
锅巴林道,欧梅原始森林,,,,,否,,,
名福其石,埃库莱斯塔,,43.3859572,-8.4064953,"Torre de Hércules, Av. Navarra, s/n, 15002 A Coruña, La Coruña, Spain",是,,,
大锅湖,萨纳夫里亚湖与杜罗河河谷,,42.1206858,-6.7253164,"Sanabria Lake, Zamora, Spain",否,,,
锦汇镇,巴利亚多利德,,41.6543639,-4.7222733,"Valladolid, Spain",是,,,
渍沁镇,纳扎雷,,39.6015562,-9.0677509,"2450 Nazaré, Portugal",是,,,
帕底亚巨坑,新卡斯蒂利亚,,3.82848,-73.68875,"Castilla la Nueva, Meta, Colombia",是,,,
第零区,瓜达拉马山脉,,40.8509017,-3.9499712,"Sierra de Guadarrama, 28741, Madrid, Spain",是,,,
北上乡,盛冈市,,39.7019558,141.1543303,"Morioka, Iwate, Japan",是,,,
启程草原,宿毛市,,32.9389868,132.7261631,"Sukumo, Kochi, Japan",是,,,
阴湿森林,八幡滨市,,33.4628782,132.4233981,"Yawatahama, Ehime, Japan",是,,,
弯弯河流,仁淀川,,33.5327744978749,133.273446147025,"Niyodo River, Kochi, Japan",是,,,
干渴岩山,石锤山,,33.7682517,133.1142954,"Mount Ishizuchi, Wakayama, Kumakogen, Kamiukena District, Ehime 791-1710, Japan",是,,,
脐眼洞穴,别子铜山,,,,,否,,,
剑山原野,安艺市,,33.5025379,133.9071048,"Aki, Kochi, Japan",是,,,
迷幻森林,祖谷溪,宝包茧、木棉球、百合根娃娃、咕咕鸽、百足蜈蚣、差不多娃娃、电飞鼠、花椰猴、爆香猴、冷水猴、高傲雉鸡、保姆虫、风妖精、裙儿小姐、野蛮鲈鱼、角金鱼、金鱼王、索罗亚克、毒蔷薇、三蜜蜂、赫拉克罗斯、凯罗斯、车轮球、罗丝雷朵、蜂女王、泳圈鼬、浮潜鼬、蚊香蝌蚪、蚊香君、蚊香蛙皇,,,,否,,,
静寂台地,高松市,,34.342542,134.0465405,"Takamatsu, Kagawa, Japan",是,,,
夜光洞窟,惠比须洞,,,,,否,,,
边际海滨,室户岬,,,,,否,,,
传说空间,高知市,,33.5588821,133.5312383,"Kochi, Japan",是,,,
奇遇之岛,桂滨,,33.4974537,133.5748696,"6 Urado, Kochi, 781-0262, Japan",是,,,
１３１号水路,宇治群岛,,31.1842322,129.4433335,"Uji Islands, Kasasacho Kataura, Minamisatsuma, Kagoshima 897-1301, Japan",是,,,
天空之柱,口永良部岛,大嘴蝠、勾魂眼、大嘴娃、念力土偶、诅咒娃娃、彷徨夜灵、七夕青鸟、烈空坐、阿利多斯、青绵鸟,30.4447113,130.2168991,"Kuchinoerabu Island, Kuchinoerabujima, Yakushima, Kumage District, Kagoshima 891-4208, Japan",是,,,
暮水镇,甑岛列岛,玛瑙水母、长翅鸥、大嘴鸥、鲤鱼王、吼吼鲸、巨牙鲨、太阳珊瑚、墨海马、毒刺水母、喵喵,31.8005999,129.829615,"Naka-Koshiki Island, Kamikoshikicho Taira, Satsumasendai, Kagoshima 896-1281, Japan",是,,,
１３２号水路,草垣群岛,,30.8476318,129.4324081,"Kusagaki Islands, Kasasacho Kataura, Minamisatsuma, Kagoshima 897-1301, Japan",是,,,
无名平原,下甑岛,勾帕路翁、代拉基翁、毕力吉翁,31.7034511,129.7240289,"Shimokoshiki-jima, Satsumasendai, Kagoshima, Japan",是,,,
１３３号水路～１３４号水路,天草滩,,32.5637942,129.7924239,"Amakusa-nada Sea, Japan",是,,,
对战塔,鹿儿岛县,,31.3911958,130.8778586,"Kagoshima, Japan",是,,,
布告石室,与那国岛,,24.4560321,122.9944636,"Yonaguni, Yaeyama District, Okinawa 907-1801, Japan",是,,,
南方孤岛,男女群岛,拉帝亚斯、拉帝欧斯,32.0239202,128.3851838,"Danjo Islands, Japan",是,,,
歪曲洞穴,九重山,酋雷姆,33.1082158,131.2913574,"Kujurenzan, Kujumachi Oaza Ariuji, Taketa, Oita 878-0202, Japan",是,,,
１１２号道路,河阳村,,28.724419,120.009746,"Heyangcun, Jinyun County, Lishui, Zhejiang, China, 321402",是,,,
凹凸山道,熊本县道,呆火驼、腕力、跳跳猪、猴怪、小火马、无畏小子,32.8594427,130.7969149,"Kumamoto, Japan",是,,,
烟突山,阿苏山,,32.8985064,131.0874754,"Mount Aso, Takawara, Aso, Kumamoto 869-2223, Japan",是,,,
釜炎镇,阿苏市,小果然、波克比、变隐龙,32.9521207,131.1211959,"Aso, Kumamoto, Japan",是,,,
秋叶镇,大分市,,33.2396084,131.6095148,"Oita, Japan",是,,,
１１４号道路,别府市,,33.2844614,131.4907093,"Beppu, Oita, Japan",是,,,
流星瀑布,羽门瀑布,超音蝠、太阳岩、月石、鲤鱼王、角金鱼、泥泥鳅、大嘴蝠、鲶鱼王、宝贝龙、皮皮、赤面龙、单首龙,33.4236202,131.5120403,"Japan, 〒879-1306 大分県杵築市山香町大字野原",否,,,
１１８号道路,宇土市,,32.6873631,130.6589603,"Uto, Kumamoto, Japan",是,,,
１１９号道路,高千穗峡,,32.7012777,131.3007272,"Takachiho Gorge, Mukōyama, Takachiho, Nishiusuki District, Miyazaki 882-1103, Japan",是,,,
茵郁市,日向市,向尾喵、正电拍拍,32.4225894,131.624414,"Hyuga, Miyazaki, Japan",是,,,
天旱石窟,天岩户神社,大嘴蝠、超音蝠、角金鱼、鲤鱼王、泥泥鳅、席多蓝恩,32.7344861,131.3507125,"1073-1 Iwato, Takachiho, Nishiusuki District, Miyazaki 882-1621, Japan",否,,,
１２０号道路,雾岛山,,31.9291565,130.9265831,"Mount Kirishima, Hosono, Kobayashi, Miyazaki 886-0004, Japan",是,,,
古代坟墓,高屋山上陵,雷吉斯奇鲁,,,,否,,,
１２１号道路,雾岛市,,31.7407317,130.7633282,"Kirishima, Kagoshima, Japan",是,,,
狩猎地带,宫崎市凤凰自然动物园,,31.9828929,131.4761039,"Miyazaki City Phoenix Zoo, 浜山-3083-42 Shioji, Miyazaki, 880-0122, Japan",否,,,
１２２号水路,鹿儿岛湾,,31.3801286,130.6558294,"Kagoshima Bay, Japan",是,,,
送神山,樱岛,夜巡灵、怨影娃娃、玛沙那、六尾、长翅鸥、风铃铃、卡蒂狗、铜镜怪、小灰怪,31.583333,130.65,"Sakurajima, Sakurajimaakamizucho, Kagoshima, 891-1420, Japan",是,,,
１２３号道路,出水市,,32.0903001,130.3531905,"Izumi, Kagoshima, Japan",是,,,
水静市,鹿屋市,玛瑙水母、长翅鸥、大嘴鸥、鲤鱼王、吼吼鲸、海星星、隆隆石、皮卡丘,31.3782477,130.8522618,"Kanoya, Kagoshima, Japan",是,,,
１２4号水路,吐噶喇群岛,,29.8414226,129.8702977,"Tokara Islands, Toshima, Kagoshima District, Kagoshima, Japan",是,,,
海洋队基地,喜界岛,,28.3216123,129.9709674,"Kikaijima, Kikai, Oshima District, Kagoshima, Japan",是,,,
未知洞窟,德之岛,由克希、艾姆利多、亚克诺姆,27.7904264,128.9668067,"Tokunoshima, Oshima District, Kagoshima, Japan",是,,,
１２５号水路,奄美大岛,,28.2678467,129.3621196,"Amami Ōshima, Kagoshima, Japan",是,,,
浅滩洞穴,马毛岛,海豹球、超音蝠、大嘴蝠、玛瑙水母、鲤鱼王、吼吼鲸、雪童子、海魔狮、白海狮、信使鸟、喷嚏熊、毒刺水母、隆隆石,30.738748,130.852576,"Mageshima, Nishinoomote, Kagoshima 891-3118, Japan",是,,,
绿岭市,种子岛,玛瑙水母、长翅鸥、大嘴鸥、鲤鱼王、吼吼鲸、巨牙鲨、铁哑铃、毒刺水母,30.609558,130.9788775,"Tanegashima, Kagoshima, Japan",是,,,
绿岭宇宙中心,种子岛航天中心,,30.374865,130.9576461,"Japan, 〒891-3703 Kagoshima, Kumage District, Minamitane, Kukinaga, ９９９９−７ 種子島宇宙センター宇宙科学技術館",否,,,
鬼界破火山口,屋久島,,30.3445936,130.5127142,"Yakushima Island, Yakushima, Kumage District, Kagoshima, Japan",是,,,
１２７号水路,伊平屋伊是名群岛,,,,,否,,,
１２８号水路,庆良间群岛,,,,,否,,,
海底洞窟,伊是名岛,超音蝠、大嘴蝠、玛瑙水母、鲤鱼王、吼吼鲸、毒刺水母、隆隆石,26.9341601,127.9413748,"Izenajima, Izena, Shimajiri District, Okinawa, Japan",是,,,
彩悠市,那霸市,,26.2130411,127.6785471,"Naha, Okinawa, Japan",是,,,
冠军之路,山原,,,,,否,,,
宝可梦联盟,首里城,,26.2170449,127.7194833,"3-chōme-1-2 Shurikinjōchō, Naha, Okinawa 903-0815, Japan",是,,,
１２９号水路,渡名喜岛,,26.362571,127.1446201,"Tonaki Island, Tonaki, Shimajiri District, Okinawa 901-3601, Japan",是,,,
弓形岛,粟国岛,,26.5890557,127.2383506,"Aguni Island, Aguni, Shimajiri District, Okinawa, Japan",是,,,
幻之岛,八重干濑,小果然,,,,否,,,
巡护员学校,北斗市特拉比斯修道院,,41.823019,140.6526793,"Hokuto, Hokkaido, Japan",否,,,
菊苣村,松前町,,33.7874698,132.7113675,"Masaki, Iyo District, Ehime, Japan",是,,,
海洋洞窟,木无岳,,,,,否,,,
风绕镇,江差町,,41.8692269,140.1275272,"Esashi, Hiyama District, Hokkaido, Japan",是,,,
风绕森林,函馆山,,41.7592941,140.703917,"Mount Hakodate, Hakodateyama, Hakodate, Hokkaido 040-0000, Japan",是,,,
港泊镇,函馆市,,41.7686961,140.7290599,"Hakodate, Hokkaido, Japan",是,,,
天使公园,五棱郭,,41.7969245,140.7567838,"44-44 Goryōkakuchō, Hakodate, Hokkaido 040-0001, Japan",否,,,
天使大厦,五棱郭塔,,41.7969245,140.7567838,"44-44 Goryōkakuchō, Hakodate, Hokkaido 040-0001, Japan",否,,,
致命悬崖,昆布岳,,42.7104907,140.6556179,"Mt. Konbu, Kinuoka, Niseko, Abuta District, Hokkaido 048-1500, Japan",是,,,
线绘高原,羊蹄山,,42.826976,140.806821,"Mount Yōtei, Kawanishi, Kyogoku, Abuta District, Hokkaido 044-0131, Japan",是,,,
锅陆岛,陆奥市,,41.2927986,141.1834683,"Mutsu, Aomori, Japan",是,,,
火山洞窟,恐山,,41.308333,141.088056,"Mount Osore, Ohata, Mutsu, Aomori 039-4401, Japan",是,,,
水精洞窟,狩场山地,,,,,否,,,
凛冽研究营,新雪谷町,,42.8047856,140.6874494,"Niseko, Abuta District, Hokkaido, Japan",是,,,
冷水谷,新雪谷安努普利,,42.8748819,140.6587835,"Mt. Niseko-Annupuri, Iwaobetsu, Kutchan, Abuta District, Hokkaido 044-0082, Japan",是,,,
海底油田基地,青函隧道,,,,,否,,,
港泊海,津轻海峡,,41.2955896,140.7959595,"Tsugaru Straits, Japan",是,,,
吼鲸王之海,陆奥湾,,41.0783994,141.0617729,"Mutsu Bay, Japan",是,,,
渺远村,青森市,,40.8222197,140.7473524,"Aomori, Japan",是,,,
河马兽神殿,三内丸山遗迹,,40.8105931,140.6967257,"Maruyama-305 Sannai, Aomori, 038-0031, Japan",否,,,
捕猎竞技场,渡岛大岛,,41.5075098,139.354181,"Oshima Island, Oshima, Matsumae, Matsumae District, Hokkaido 049-1500, Japan",是,,,
祝庆村,石狩湾,,43.308681,141.2706239,石狩湾,是,,,
祝庆村,札幌市,,43.0617713,141.3544506,"Sapporo, Hokkaido, Japan",是,,,
水脉桥,创成桥,,,,,否,,,
花苑道,札幌大通,,43.0597094,141.3433636,"Odori Ave, Chuo Ward, Sapporo, Hokkaido, Japan",是,,,
银河队总部,北海道厅旧本厅舍,,43.0643091,141.3468324,"6 Chome Kita 3 Jonishi, Chuo Ward, Sapporo, Hokkaido 060-0003, Japan",否,,,
训练场,札幌练兵场,,43.0617713,141.3544506,"Sapporo, Hokkaido, Japan",否,,,
农场,山鼻村,,,,,否,,,
放牧场,札幌村,,43.0617713,141.3544506,"Sapporo, Hokkaido, Japan",是,,,
大志坡,羊丘,,,,,否,,,
蹄铁草原,野幌丘陵,,,,,否,,,
角鹿高岗,马追丘陵,,,,,否,,,
真砂平原,勇拂平野,,,,,否,,,
心齐湖洞窟,大岛,,19.5429151,-155.6658568,"Island of Hawai'i, Hawaii, USA",是,,,
黑曜瀑布,千鸟瀑布,,,,,否,,,
险林,栗山町,,43.0563748,141.7841372,"Kuriyama, Yubari District, Hokkaido, Japan",是,,,
漩涡岛,淡路岛,大钳蟹、超音蝠、小海狮、大嘴蝠、玛瑙水母、墨海马、毒刺水母、鲤鱼王、巨钳蟹、海刺龙、洛奇亚、幕下力士、阿勃梭鲁、铃铛响、铜镜怪,34.3257122,134.813111,"Awaji Island, Hyogo, Japan",是,,,
41号水路,鸣门海峡,,34.2418331,134.6499611,"Naruto Strait, Japan",是,,,
湛蓝市,鸣门市,大钳蟹、壶壶、玛瑙水母、毒刺水母、鲤鱼王、太阳珊瑚、海星星、巨钳蟹,34.1726034,134.608866,"Naruto, Tokushima, Japan",是,,,
卡吉镇,甲贺市,,34.966081,136.166348,"Koka, Shiga, Japan",是,,,
龙穴,金樱神社,鲤鱼王、迷你龙、哈克龙,35.7694028,138.5559021,"2347 Mitakechō, Kofu, Yamanashi 400-1218, Japan",否,,,
断崖入口,那贺町,乌波、沼王、鲤鱼王、蚊香蝌蚪,33.8574529,134.4966709,"Naka, Naka District, Tokushima, Japan",是,,,
埋藏之塔,剑山,盖欧卡、固拉多、烈空坐,33.8535949,134.0941633,"Mount Tsurugi, Higashiiyasugeoi, Miyoshi, Tokushima 778-0201, Japan",是,,,
47-48号道路,大步危,,,,,否,,,
38-39号道路,六甲山,,34.7780226,135.2637238,"Mount Rokkō, Arimacho, Kita Ward, Kobe, Hyogo 651-1401, Japan",是,,,
哞哞牧场,神户市立六甲山牧场,,34.7515873,135.2090028,"Japan, 〒657-0101 Hyogo, Kobe, Nada Ward, Rokkōsanchō, Nakaichiriyama−１−１",否,,,
浅葱市,神户市,霹雳电球、玛瑙水母、毒刺水母、鲤鱼王、大钳蟹、太阳珊瑚、海星星、巨钳蟹、灯笼鱼、大舌贝、电灯怪、大钢蛇,34.6900806,135.1956311,"Kobe, Hyogo, Japan",是,,,
浅葱道馆,神户制钢所,,,,,否,,,
浅葱灯塔,和田岬灯塔,,34.6432022,135.1223138,"1 Chome-1 Sumauradori, Suma Ward, Kobe, Hyogo 654-0055, Japan",否,,,
40号水路,明石海峡,,34.6392759,134.9853211,"Japan, 明石海峡",是,,,
擂钵山,比叡山,小拉达、拉达、超音蝠、大嘴蝠、腕力、小拳石、玛力露、角金鱼、金鱼王、鲤鱼王、豪力、隆隆石、无畏小子、幕下力士、阿勃梭鲁、铃铛响、铜镜怪,35.0622477,135.8315317,"Mount Hiei, Ichijoji Idegadanichosenguchi, Sakyo Ward, Kyoto, 606-0000, Japan",是,,,
44号道路,铃鹿山脉,,35.1792328,136.4143377,"Suzuka Mountains, Kimigahatacho, Higashiomi, Shiga 527-0202, Japan",是,,,
42号道路,大津市～草津市,,35.013047,135.9597579,"Kusatsu, Shiga, Japan",是,,,
43号道路,近江八幡市,,35.1283594,136.0979635,"Omihachiman, Shiga, Japan",是,,,
怒之湖,琵琶湖,,35.3456394,136.1709012,"Lake Biwa, Shiga, Japan",是,,,
冰雪小径,鸣泽冰穴,超音蝠、大嘴蝠、小山猪、信使鸟、迷唇姐、狃拉、幕下力士、阿勃梭鲁、铃铛响、铜镜怪,35.4749276,138.6669694,"Japan, 〒401-0320 Yamanashi, Minamitsuru District, Narusawa, 鳴沢８５３３",否,,,
烟墨市,白川乡,钻角犀兽、嘟嘟利、鲤鱼王、蚊香蝌蚪、蚊香君,,,,否,,,
45号道路,天龙川,,35.3544177753949,137.922054712481,"Tenryū River, Japan",是,,,
黑暗洞穴,赤石山脉,,35.6710987,138.2420361,"Akaishi Mountains, Ashiyasuashikura, Minami-Alps, Yamanashi 400-0241, Japan",是,,,
狩猎地带,纽雷欧玛世界,,,,,否,,,
开拓区入口,姬路市,,34.8154176,134.6855509,"Himeji, Hyogo, Japan",是,,,
对战开拓区,姬路中央公园,,34.871029,134.764362,"Kodani-1434 Toyotomichō, Himeji, Hyogo 679-2121, Japan",否,,,
对战城堡,姬路城,,34.839449,134.6939047,"68 Honmachi, Himeji, Hyogo 670-0012, Japan",是,,,
神都遗迹,立山,,36.575833,137.619722,"Mount Tate, Ashikuraji, Tateyama, Nakaniikawa District, Toyama 930-1406, Japan",是,,,
化朗镇,温德米尔,敲音猴,54.3739306,-2.9376445,"Windermere, United Kingdom",是,,,
１号道路和木杆镇,波尼斯,,54.364703,-2.919627,"Bowness-on-Windermere, Windermere LA23, UK",是,,,
２号道路,弗内斯,,54.1142585,-3.2362276,"Furness, UK",是,,,
微寐森林,格里兹戴尔森林,咕咕、强颚鸡母虫、贪心栗鼠、稚山雀、索侦虫、巴大蝶、双弹瓦斯、食梦梦、泥巴鱼、钢铠鸦、鲤鱼王、泥泥鳅、鲶鱼王,,,,否,,,
旷野地带,湖区,,,,,否,,,
